iter,loss
0,0.3537467
1,0.8391846
2,0.14917156
3,0.33106953
4,0.36181912
5,0.20500448
6,0.11340252
7,0.12746313
8,0.16772385
9,0.1755965
10,0.15298489
11,0.12304289
12,0.10113216
13,0.09228463
14,0.09335495
15,0.09834425
16,0.10267173
17,0.1037191
18,0.101126164
19,0.09590192
20,0.089857556
21,0.0844171
22,0.08049504
23,0.0786713
24,0.078651324
25,0.07962603
26,0.080402605
27,0.0801681
28,0.07878451
29,0.076690644
30,0.07454879
31,0.0727708
32,0.071521
33,0.07070139
34,0.07010122
35,0.06932904
36,0.06820018
37,0.06701952
38,0.06567472
39,0.06404044
40,0.061972555
41,0.059201214
42,0.056189112
43,0.053397898
44,0.05080154
45,0.048428785
46,0.046595614
47,0.04492242
48,0.0421956
49,0.039740905
50,0.037766885
51,0.0357053
52,0.034139957
53,0.03239036
54,0.031321015
55,0.030135097
56,0.029060815
57,0.028256511
58,0.027625259
59,0.026993088
60,0.026438437
61,0.025892356
62,0.025180414
63,0.024459492
64,0.024517624
65,0.025242053
66,0.023379602
67,0.022361742
68,0.022857692
69,0.021307437
70,0.022121437
71,0.020523068
72,0.021036627
73,0.019970277
74,0.020174423
75,0.019565502
76,0.019115591
77,0.019143837
78,0.018227018
79,0.01848407
80,0.017522493
81,0.017788475
82,0.016972736
83,0.016929734
84,0.01671577
85,0.016348226
86,0.016277421
87,0.015820932
88,0.015915606
89,0.015662747
90,0.015997376
91,0.016537622
92,0.014870842
93,0.014204339
94,0.014854644
95,0.014037785
96,0.013421102
97,0.013828545
98,0.013616371
99,0.012685431
100,0.012531155
101,0.012661015
102,0.012476225
103,0.0115334485
104,0.011606275
105,0.0120185455
106,0.012215881
107,0.011524041
108,0.01065901
109,0.010272781
110,0.01074929
111,0.010621466
112,0.009892174
113,0.009159222
114,0.0093721775
115,0.009702039
116,0.009109017
117,0.008638444
118,0.008466969
119,0.0080570355
120,0.008133561
121,0.008070492
122,0.008118071
123,0.0077781165
124,0.007980673
125,0.0076669473
126,0.0075702886
127,0.0070807636
128,0.007019567
129,0.0071361437
130,0.0069232397
131,0.0068579265
132,0.007142804
133,0.0071637523
134,0.008277699
135,0.0088335965
136,0.010591881
137,0.008734596
138,0.006330454
139,0.006477972
140,0.007903671
141,0.008403843
142,0.005923042
143,0.0062221135
144,0.0080814585
145,0.006767281
146,0.005210349
147,0.007569774
148,0.006660436
149,0.004955753
150,0.006088294
151,0.0058359927
152,0.0046773674
153,0.0053090802
154,0.0053848433
155,0.0042252056
156,0.00511723
157,0.004568727
158,0.0041688606
159,0.0047567757
160,0.0041363565
161,0.004059543
162,0.004294121
163,0.0038173087
164,0.0035538727
165,0.0038558966
166,0.0034518582
167,0.0033112566
168,0.0036008372
169,0.003263394
170,0.0030349323
171,0.0030415466
172,0.0031150305
173,0.0028206876
174,0.0027267314
175,0.0027356485
176,0.0028399746
177,0.002618431
178,0.0024899358
179,0.0024135644
180,0.0024366777
181,0.0023556498
182,0.002434448
183,0.0025994147
184,0.002725539
185,0.0027687312
186,0.0025858392
187,0.0026707323
188,0.0024029294
189,0.002178106
190,0.0021035422
191,0.0022146502
192,0.002010077
193,0.0020259111
194,0.001958174
195,0.0018817368
196,0.0018432196
197,0.0018142386
198,0.0019395017
199,0.0020874678
